,STOCK,BOND,GOLD
1965-11-18,2.329840145425852,0.4260592240605275,175.0
1965-11-19,2.330603286411942,0.4257058654183503,175.0
1965-11-22,2.31570131747136,0.42620438050122705,175.0
1965-11-23,2.319495420413941,0.42627710585186823,175.0
1965-11-24,2.323795889292164,0.4263498436119938,175.0
1965-11-26,2.3263278367016995,0.42649535636916847,175.0
1965-11-29,2.320771579102167,0.4261416360140845,175.0
1965-11-30,2.316225120739083,0.4253622364901206,175.0
1965-12-01,2.313703592680425,0.4237338755792397,175.0
1965-12-02,2.3066299139786177,0.42380735641401274,175.0
1965-12-03,2.3084058065982167,0.4238808499912957,175.0
1965-12-06,2.2914660013847055,0.42013942866337645,175.0
1965-12-07,2.3119589093036903,0.4210540655306968,175.0
1965-12-08,2.3094353427958962,0.42070719718147387,175.0
1965-12-09,2.3167783850636563,0.42078148873018245,175.0
1965-12-10,2.323111076620404,0.42085579339783524,175.0
1965-12-13,2.3241306811091444,0.4188258322197595,175.0
1965-12-14,2.325656581154592,0.4180629708825021,175.0
1965-12-15,2.32946096476712,0.41813795678045407,175.0
1965-12-16,2.3322537525140645,0.41863109408503796,175.0
1965-12-17,2.33150250069421,0.4191246468550882,175.0
1965-12-20,2.320876110421645,0.42087598912944696,175.0
1965-12-21,2.3302526949121245,0.4196878495315633,175.0
1965-12-22,2.3376052158979763,0.4193429393980792,175.0
1965-12-23,2.335334437197492,0.41941782206582884,175.0
1965-12-27,2.3186238344888648,0.4208261056737473,175.0
1965-12-28,2.3191371804595278,0.4213215783148323,175.0
1965-12-29,2.3264916400503997,0.42097482396823505,175.0
1965-12-30,2.336635164092872,0.42062852205947066,175.0
1965-12-31,2.342726130706285,0.41986204341927336,175.0
1966-01-03,2.3366495867770705,0.42077674287100825,175.0
1966-01-04,2.3389368039931466,0.4200099941395544,175.0
1966-01-05,2.3541536662385854,0.4209250159125014,175.0
1966-01-06,2.3597392731923055,0.4222626220741789,175.0
1966-01-07,2.3620297253775755,0.4223371882911721,175.0
1966-01-10,2.3671102713039267,0.4219894304873213,175.0
1966-01-11,2.369401990913609,0.42248610534875997,175.0
1966-01-12,2.3640844284851728,0.4242506554514567,175.0
1966-01-13,2.368659329160023,0.4234763980052577,175.0
1966-01-14,2.3724741087578347,0.42312736606928286,175.0
1966-01-17,2.379588262572932,0.4223556623492612,175.0
1966-01-18,2.3844201390851474,0.42243041259743885,175.0
1966-01-19,2.3780861334363674,0.4225051760752239,175.0
1966-01-20,2.3699737301436943,0.42300245796103314,175.0
1966-01-21,2.3730290979251145,0.4235001572816104,175.0
1966-01-24,2.3793855021392676,0.423151273818707,175.0
1966-01-25,2.383204230159379,0.4228028456864951,175.0
1966-01-26,2.379659562413756,0.42287767507902535,175.0
1966-01-27,2.3791617375082477,0.4221067623650122,175.0
1966-01-28,2.3702819243448032,0.4213375900424804,175.0
1966-01-31,2.3596219591319985,0.41972747853767517,175.0
1966-02-01,2.3415961855535343,0.4198030961072213,175.0
1966-02-02,2.3512606781004735,0.41945892420382536,175.0
1966-02-03,2.3545748088099923,0.41953465984291777,175.0
1966-02-04,2.370342290368025,0.4191908744966576,175.0
1966-02-07,2.378996500449825,0.41842834633447795,175.0
1966-02-08,2.3782477862013875,0.41892282237232886,175.0
1966-02-09,2.391480778072398,0.418160948048943,175.0
1966-02-10,2.385902418374758,0.4165644692865705,175.0
1966-02-11,2.385662417775723,0.4133084889883413,175.0
1966-02-14,2.3788104669617,0.4129724298240806,175.0
1966-02-15,2.3699222007489773,0.41263680778587436,175.0
1966-02-16,2.3699348422066433,0.4123016222519308,175.0
1966-02-17,2.357482009425752,0.4127914758459873,175.0
1966-02-18,2.3513869050197567,0.412043373199087,175.0
1966-02-21,2.3379112777282955,0.41129695335835137,175.0
1966-02-23,2.328249821117548,0.4114526733699435,175.0
1966-02-24,2.3134958546504127,0.4111191028097472,175.0
1966-02-25,2.3201198177918774,0.4095526085140412,175.0
1966-02-28,2.322417656135762,0.40758318053389314,175.0
1966-03-01,2.293159872146638,0.40806953078145874,175.0
1966-03-02,2.2702609117763575,0.4085562994360338,175.0
1966-03-03,2.278679076668668,0.4086349303111236,175.0
1966-03-04,2.273091373726934,0.4095308461801589,175.0
1966-03-07,2.242794959678753,0.41042840128470376,175.0
1966-03-08,2.2466273206044702,0.41173802619531097,175.0
1966-03-09,2.266766297589511,0.41181612570980364,175.0
1966-03-10,2.2670350544671343,0.41107060778699084,175.0
1966-03-11,2.2645006143174924,0.41073783634259187,175.0
1966-03-14,2.2392823197505822,0.41163771078483286,175.0
1966-03-15,2.2268028985036774,0.41295086775189616,175.0
