FTSE Nareit U.S. Real Estate Index Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Index Values and Returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 1971 - May 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Returns and dividend yield in percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All REITs,,,,,,,Composite,,,,,,,Real Estate 50TM,,,,,,,All Equity REITs,,,,,,,Equity REITs,,,,,,,Mortgage REITs,,,,,,
,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income ,Dividend,
Date,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-20,9.73,"8,040.25",9.61,205.63,0.12,3.92,,9.65,"7,897.46",9.52,200.90,0.12,3.92,,7.61,846.74,7.51,318.43,0.10,3.52,,9.22,"19,774.43",9.11,700.83,0.11,3.65,,10.92,"17,953.35",10.78,625.86,0.14,3.98,,18.37,"1,078.64",18.10,3.75,0.28,9.05,
Dec-20,2.76,"8,261.85",2.10,209.94,0.66,3.84,,2.68,"8,109.49",2.03,204.98,0.66,3.84,,2.30,866.20,1.65,323.67,0.65,3.45,,2.45,"20,258.86",1.86,713.86,0.59,3.56,,3.29,"18,543.41",2.69,642.70,0.59,3.86,,7.17,"1,155.93",5.23,3.94,1.93,8.99,
Jan-21,-0.16,"8,248.44",-0.26,209.39,0.10,3.84,,-0.19,"8,094.07",-0.29,204.39,0.10,3.83,,-0.11,865.22,-0.18,323.07,0.07,3.45,,-0.07,"20,244.45",-0.17,712.67,0.10,3.55,,0.10,"18,562.59",-0.02,642.60,0.12,3.84,,-2.41,"1,128.11",-2.58,3.84,0.17,9.29,
Feb-21,3.06,"8,500.61",2.93,215.53,0.13,3.72,,3.00,"8,336.83",2.87,210.25,0.13,3.73,,1.84,881.14,1.71,328.60,0.13,3.37,,2.72,"20,795.58",2.59,731.15,0.13,3.46,,4.01,"19,306.60",3.85,667.31,0.16,3.71,,8.28,"1,221.57",8.12,4.15,0.16,8.58,
Mar-21,5.43,"8,962.61",4.85,225.99,0.58,3.56,,5.54,"8,798.94",4.97,220.69,0.58,3.57,,6.12,935.03,5.56,346.86,0.56,3.26,,5.53,"21,944.85",5.00,767.73,0.52,3.31,,4.57,"20,188.68",4.02,694.12,0.55,3.57,,5.86,"1,293.18",4.27,4.33,1.59,8.27,
Apr-21,7.89,"9,669.68",7.71,243.42,0.17,3.32,,7.93,"9,496.69",7.75,237.80,0.18,3.32,,8.33,"1,012.88",8.15,375.15,0.17,3.02,,8.12,"23,726.14",7.95,828.79,0.16,3.07,,8.06,"21,815.16",7.91,749.03,0.15,3.31,,4.50,"1,351.41",4.09,4.51,0.42,8.03,
May-21,0.78,"9,745.18",0.65,245.01,0.13,3.16,,0.80,"9,572.49",0.67,239.39,0.13,3.17,,1.15,"1,024.48",1.02,378.99,0.12,2.94,,0.82,"23,921.42",0.70,834.58,0.12,2.91,,1.02,"22,038.47",0.87,755.58,0.15,3.11,,0.33,"1,355.87",0.12,4.51,0.21,8.04,
Jun-21,2.74,"10,012.26",2.21,250.43,0.53,3.10,,2.72,"9,832.81",2.19,244.64,0.53,3.10,,2.79,"1,053.02",2.27,387.59,0.52,2.88,,2.77,"24,584.10",2.29,853.69,0.48,2.85,,2.61,"22,614.65",2.14,771.74,0.47,3.04,,1.76,"1,379.68",0.35,4.53,1.41,7.97,
Jul-21,4.01,"10,413.90",3.89,260.17,0.12,2.98,,4.03,"10,228.62",3.90,254.18,0.13,2.99,,4.60,"1,101.43",4.49,405.01,0.10,2.77,,4.36,"25,657.05",4.25,889.99,0.11,2.73,,4.81,"23,702.12",4.67,807.77,0.14,2.91,,-2.55,"1,344.56",-2.93,4.40,0.38,8.25,
Aug-21,2.14,"10,636.99",2.02,265.43,0.12,2.93,,2.12,"10,445.48",2.00,259.25,0.12,2.94,,2.42,"1,128.11",2.31,414.37,0.11,2.71,,2.08,"26,191.56",1.97,907.48,0.12,2.69,,1.84,"24,138.58",1.70,821.51,0.14,2.87,,2.88,"1,383.31",2.66,4.51,0.22,8.05,
