,CASH,CASH_yield
1980-04-23,1.0365157152220172,0.00033561643835616436
1980-04-24,1.0373402194312296,0.00032904110216114616
1980-04-25,1.0381627639153646,0.0003263013656825235
1980-04-28,1.043138711364399,0.000970684965995893
1980-04-29,1.0447343285002038,0.00030136986301369865
1980-04-30,1.0467739955420263,0.0002942465690717305
1980-05-01,1.0472155161028835,0.0002846575436526782
1980-05-02,1.0500520513704363,0.0002838356070322533
1980-05-05,1.051836461725551,0.0008095890724495665
1980-05-06,1.0529123798411406,0.0002646575300660852
1980-05-07,1.0558005796163845,0.0002602739726027397
1980-05-08,1.0572178174357696,0.0002460273847188035
1980-05-09,1.0571616815664389,0.00023972602739726027
1980-05-12,1.0589740313530196,0.0007241096235301396
1980-05-13,1.0608447340975717,0.00023561644880738976
1980-05-14,1.0617931146383446,0.00022684930775263538
1980-05-15,1.0596318779277798,0.00022301370803623981
1980-05-16,1.0576963510426551,0.00023589040155280126
1980-05-19,1.0592243317481185,0.0007430136954947694
1980-05-20,1.0625276987416743,0.00024356165324171928
1980-05-21,1.0639377629741196,0.00022712328662611033
1980-05-22,1.0647296674007984,0.0002208219293045671
1980-05-23,1.0670591242782004,0.00021780821395246948
1980-05-27,1.0680202665753467,0.0008263013656825236
1980-05-28,1.0675144224925313,0.00020602739673771268
1980-05-29,1.0666028549061453,0.00020986300951813999
1980-05-30,1.0674947044902225,0.0002158904140942717
1980-06-02,1.0673869389298534,0.000636986301369863
1980-06-03,1.0691030833779422,0.00021643835877718993
1980-06-04,1.070351028502369,0.00020849315434286038
1980-06-05,1.070820545443589,0.0002030136944496468
1980-06-06,1.071392206651255,0.00020164383927436726
1980-06-09,1.0741917088665678,0.0005991780790564131
1980-06-10,1.0755836244946886,0.00018821917494682417
1980-06-11,1.077546039793949,0.00018191780456124922
1980-06-12,1.078248694196947,0.0001726027449516401
1980-06-13,1.07853053182299,0.00016986300847301745
1980-06-16,1.0780676663026396,0.0005079451913702977
1980-06-17,1.0763205099156599,0.00017452054480983784
1980-06-18,1.075317283294806,0.00018465752797584012
1980-06-19,1.0754647778051065,0.00019095889836141507
1980-06-20,1.0769130262229032,0.00019123287723489004
1980-06-23,1.075412342843338,0.0005539725839275203
1980-06-24,1.0747867865692031,0.0001956164346982355
1980-06-25,1.074374054337803,0.0002000000052256127
1980-06-26,1.0738619084863092,0.00020328767332312178
1980-06-27,1.0733546138929655,0.00020712328610354908
1980-06-30,1.0730868726034846,0.0006328766966519291
1980-07-01,1.072487373154014,0.0002158904140942717
1980-07-02,1.0732335006599416,0.00022027397155761718
1980-07-03,1.0741324648257884,0.00021753424814302628
1980-07-07,1.0728102881405064,0.0008558904046881689
1980-07-08,1.0739747163494173,0.00022575341838679903
1980-07-09,1.0746707557622452,0.0002208219293045671
1980-07-10,1.074951202084164,0.00021835615863538768
1980-07-11,1.074095343134654,0.00021808219282594445
1980-07-14,1.0747473424202085,0.0006715068555858037
1980-07-15,1.0756538658362746,0.00022410959740207622
1980-07-16,1.0773866375218706,0.00022054795043109215
1980-07-17,1.0765736468526947,0.00021260274599676262
1980-07-18,1.0768025280741833,0.00021808219282594445
1980-07-21,1.0780073431949033,0.0006542465784778333
1980-07-22,1.078129862076485,0.00021534246941135352
1980-07-23,1.0786160885345921,0.0002158904140942717
1980-07-24,1.0779081929913856,0.0002145205458549604
1980-07-25,1.077931595637192,0.0002194520610652558
1980-07-28,1.077798743864987,0.0006616438512932764
1980-07-29,1.0775695858825927,0.0002249315078944376
1980-07-30,1.0773950250343216,0.0002273972654995853
1980-07-31,1.0763970326307708,0.00022958904423125802
1980-08-01,1.076232732197763,0.00023616438042627623
1980-08-04,1.0772940997521072,0.0007150684774738468
1980-08-05,1.077130292270668,0.00023671233817322614
1980-08-06,1.0782597403925678,0.00023890411690489886
1980-08-07,1.0793860678710723,0.00023424658056807844
1980-08-08,1.0783862311619696,0.00022958904423125802
